month,n,crps_global,crps_chooser,nll_global,nll_chooser,brier_global,brier_chooser,coverage_global_0.5,coverage_chooser_0.5,coverage_global_0.8,coverage_chooser_0.8,coverage_global_0.9,coverage_chooser_0.9,coverage_global_0.95,coverage_chooser_0.95
1,31,1.3845764447377813,1.3975750746047422,2.3606286118522184,2.363272444156478,0.015374525757740502,0.015473317105767518,0.7096774193548387,0.7096774193548387,0.8709677419354839,0.8709677419354839,0.9032258064516129,0.9032258064516129,1.0,1.0
2,28,1.4111432383799514,1.4276257561366126,2.3712614454475234,2.3755740845067486,0.01568532885641358,0.01586762251969241,0.6071428571428571,0.5714285714285714,0.8928571428571429,0.8928571428571429,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143
3,31,1.6985600162048504,1.6940681739373664,2.560310984598208,2.5446125933332007,0.01837879903449468,0.018378174687207163,0.6451612903225806,0.6451612903225806,0.8387096774193549,0.8387096774193549,0.8709677419354839,0.8709677419354839,0.9354838709677419,0.9354838709677419
4,30,1.3012268628545562,1.3196629232987729,2.307176217463998,2.3184965132365334,0.014938986936941519,0.015164829938505075,0.6,0.6,0.9666666666666667,0.9666666666666667,1.0,1.0,1.0,1.0
5,31,1.2655129749770688,1.2773174614863447,2.291701359127045,2.2983771019868753,0.013226149331401637,0.01337881425300638,0.6129032258064516,0.6129032258064516,0.967741935483871,1.0,1.0,1.0,1.0,1.0
6,28,1.4344805541145071,1.4347600026419622,2.375972787808404,2.382013489605011,0.015321934374746353,0.015313846103750493,0.6785714285714286,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.9642857142857143,1.0,1.0,1.0
7,31,1.2220128817045637,1.2182317224875632,2.2741755528400454,2.2743232120436483,0.01344499637308834,0.013390722423008003,0.7419354838709677,0.7419354838709677,0.967741935483871,0.967741935483871,1.0,1.0,1.0,1.0
8,31,1.0721980634561397,1.0613922443376422,2.205022676188466,2.1939261823692706,0.011668607007899939,0.011599363372975938,0.8064516129032258,0.8064516129032258,1.0,1.0,1.0,1.0,1.0,1.0
9,30,1.0987125655380943,1.093513216610012,2.2161764698155264,2.20776400107756,0.012900456508830335,0.012846766764282829,0.7666666666666667,0.7,0.9666666666666667,1.0,1.0,1.0,1.0,1.0
10,31,1.0454360056400358,1.0389608765546503,2.192719100104642,2.1829404435003585,0.01236788559794261,0.01230298641316485,0.7096774193548387,0.7096774193548387,1.0,1.0,1.0,1.0,1.0,1.0
11,30,1.1814561146928755,1.1990893207378568,2.2526851216768478,2.257193170990729,0.013043182705309318,0.013219036923117777,0.6666666666666666,0.6333333333333333,1.0,0.9666666666666667,1.0,1.0,1.0,1.0
12,31,1.275445459443131,1.2641655312020956,2.3069200515657053,2.2951972999540073,0.014560968411586515,0.014442612903134647,0.6774193548387096,0.7096774193548387,0.9032258064516129,0.9354838709677419,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871
